운동 이름,유/무산소,운동 부위,도구,단체유무,장소,나이,비만도,성별,상장,운동순서,순위
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,3단계비만,M,참가증,준비운동,3
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,10대,3단계비만,M,참가증,준비운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,10대,3단계비만,M,참가증,준비운동,5
팔굽혀 펴기,무산소,"팔,어깨,상체",없음,개인,실내,10대,3단계비만,M,참가증,본운동,1
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,3단계비만,M,참가증,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,10대,3단계비만,M,참가증,본운동,3
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,10대,3단계비만,M,참가증,본운동,4
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,10대,3단계비만,M,참가증,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,10대,3단계비만,M,참가증,마무리운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,3단계비만,M,참가증,마무리운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,3단계비만,M,참가증,마무리운동,3
양발 나란히 서기,유산소,하체,없음,개인,실내,10대,3단계비만,M,참가증,마무리운동,4
점프 후 버티기,무산소,하체,없음,개인,실내,10대,2단계비만,F,2등급,마무리운동,5
벌림 밸런스 운동-60~120도 사이,유산소,"어깨,팔",덤벨,개인,실내,10대,3단계비만,M,2등급,마무리운동,5
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,10대,정상,F,3등급,마무리운동,3
목 스트레칭,유산소,목,없음,개인,실내,10대,정상,F,3등급,마무리운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,정상,F,3등급,마무리운동,5
목 스트레칭,유산소,목,없음,개인,실내,10대,정상,M,3등급,준비운동,1
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,10대,정상,M,3등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,정상,M,3등급,준비운동,3
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부","밴드, 의자",개인,실내,10대,정상,M,3등급,준비운동,4
폼롤러 이용 유연성운동 루틴 프로그램,무산소,"어깨,허리,하체",폼롤러,개인,실내,10대,정상,M,3등급,준비운동,5
달리기,유산소,"전신,허벅지",없음,개인,야외,10대,정상,M,3등급,본운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,비만전단계비만,F,3등급,본운동,5
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,10대,비만전단계비만,F,3등급,마무리운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,비만전단계비만,F,3등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,10대,비만전단계비만,F,3등급,마무리운동,3
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,10대,비만전단계비만,F,3등급,마무리운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,비만전단계비만,F,3등급,마무리운동,5
탄력밴드 어깨 가쪽 돌림,무산소,"상체,어깨",밴드,개인,실내,10대,1단계비만,F,3등급,준비운동,3
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,10대,1단계비만,F,3등급,준비운동,4
폼롤러 이용 유연성운동 루틴 프로그램,무산소,"어깨,허리,하체",폼롤러,개인,실내,10대,1단계비만,F,3등급,준비운동,5
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,10대,1단계비만,F,3등급,본운동,1
네발기기 자세에서 다리 위로 뻗어올리기,유산소,"엉덩이,등,복부",밴드,개인,실내,10대,1단계비만,F,3등급,본운동,2
누워서 배가로근 수축 II,무산소,"하체,허벅지,종아리,복부,엉덩이",없음,개인,실내,10대,1단계비만,F,3등급,본운동,3
네발기기 자세로 팔 다리 들기,유산소,"허리,등,허벅지",없음,개인,실내,10대,1단계비만,F,3등급,본운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,2단계비만,M,3등급,마무리운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,2단계비만,M,3등급,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,10대,2단계비만,M,3등급,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,2단계비만,M,3등급,마무리운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,10대,3단계비만,F,3등급,마무리운동,5
탄력밴드 어깨 가쪽 돌림,무산소,"상체,어깨",밴드,개인,실내,10대,3단계비만,M,3등급,준비운동,2
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,10대,3단계비만,M,3등급,준비운동,3
폼롤러 이용 유연성운동 루틴 프로그램,무산소,"어깨,허리,하체",폼롤러,개인,실내,10대,3단계비만,M,3등급,준비운동,4
가슴 어깨 펴기,유산소,가슴,없음,단체,실내,10대,3단계비만,M,3등급,준비운동,5
엎드려서 팔 다리 들기,유산소,"등,허리",없음,개인,실내,10대,3단계비만,M,3등급,본운동,1
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,3단계비만,M,3등급,본운동,2
누워서 엉덩이 들어올리기,무산소,"등,허리,엉덩이",없음,개인,실내,10대,3단계비만,M,3등급,본운동,3
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,10대,3단계비만,M,3등급,본운동,4
달리기,유산소,"전신,허벅지",없음,개인,야외,10대,3단계비만,M,3등급,본운동,5
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,3단계비만,M,3등급,마무리운동,1
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,3단계비만,M,3등급,마무리운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,3단계비만,M,3등급,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,10대,3단계비만,M,3등급,마무리운동,4
가슴/어깨 앞쪽 스트레칭,무산소,"가슴,어깨,상체",없음,개인,실내,10대,저체중,M,참가증,준비운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,10대,저체중,M,참가증,준비운동,5
